iter	Passed	Remaining
0	1	108
1	1	94
2	2	88
3	3	94
4	4	90
5	5	88
6	6	86
7	7	84
8	8	81
9	8	79
10	9	77
11	10	77
12	11	75
13	12	74
14	12	72
15	13	70
16	14	69
17	14	67
18	15	65
19	16	64
20	17	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	57
26	21	57
27	21	56
28	22	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	32	44
42	33	43
43	33	43
44	34	42
45	35	41
46	35	40
47	36	39
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	43	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
