iter	Passed	Remaining
0	165	164982
1	166	82998
2	168	55882
3	169	42118
4	170	33905
5	171	28389
6	172	24500
7	173	21525
8	174	19235
9	175	17417
10	177	15948
11	178	14706
12	180	13689
13	181	12780
14	182	11974
15	183	11272
16	184	10640
17	185	10095
18	185	9597
19	186	9155
20	187	8741
21	188	8370
22	189	8031
23	190	7732
24	191	7484
25	193	7238
26	194	7016
27	195	6798
28	196	6592
29	197	6397
30	198	6216
31	199	6040
32	200	5876
33	201	5719
34	202	5575
35	202	5434
36	203	5302
37	204	5188
38	206	5085
39	207	4989
40	209	4893
41	210	4792
42	211	4695
43	211	4604
44	212	4514
45	213	4429
46	214	4347
47	215	4267
48	215	4191
49	216	4118
50	217	4048
51	218	3981
52	219	3922
53	220	3870
54	222	3817
55	223	3763
56	224	3713
57	225	3659
58	226	3606
59	226	3554
60	227	3505
61	228	3456
62	229	3409
63	230	3364
64	230	3321
65	231	3279
66	232	3237
67	233	3204
68	235	3174
69	236	3142
70	237	3106
71	238	3076
72	239	3042
73	240	3007
74	241	2978
75	242	2944
76	243	2913
77	243	2881
78	244	2850
79	245	2819
80	245	2790
81	246	2762
82	247	2731
83	247	2703
84	249	2685
85	250	2667
86	252	2647
87	253	2626
88	254	2604
89	255	2579
90	256	2562
91	257	2541
92	258	2518
93	259	2496
94	259	2474
95	260	2452
96	261	2430
97	261	2410
98	262	2390
99	263	2371
100	265	2359
101	266	2343
102	267	2329
103	268	2315
104	269	2300
105	270	2282
106	271	2267
107	272	2253
108	273	2236
109	274	2221
110	275	2205
111	276	2189
112	276	2173
113	277	2157
114	278	2142
115	279	2133
116	280	2120
117	282	2109
118	283	2098
119	284	2085
120	285	2071
121	286	2058
122	286	2045
123	287	2031
124	288	2018
125	289	2005
126	289	1992
127	290	1979
128	291	1967
129	292	1955
130	293	1943
131	294	1936
132	295	1927
133	296	1919
134	298	1910
135	299	1902
136	300	1891
137	300	1879
138	302	1871
139	303	1861
140	303	1851
141	304	1839
142	305	1828
143	305	1818
144	306	1808
145	307	1798
146	308	1788
147	309	1779
148	310	1772
149	311	1767
150	313	1760
151	314	1752
152	315	1743
153	315	1735
154	316	1728
155	317	1719
156	318	1710
157	319	1701
158	320	1693
159	321	1685
160	321	1676
161	322	1667
162	323	1660
163	324	1652
164	325	1646
165	326	1640
166	327	1634
167	328	1628
168	329	1622
169	330	1615
170	332	1610
171	332	1602
172	333	1595
173	334	1588
174	335	1580
175	336	1573
176	336	1565
177	337	1558
178	338	1551
179	339	1545
180	340	1541
181	342	1537
182	343	1532
183	344	1527
184	345	1521
185	346	1515
186	347	1510
